received_at,sequence,millis,gain,integration_time,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-09T00:06:44.587444+00:00,77,19985,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:44.851760+00:00,78,20244,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:45.107182+00:00,79,20504,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:45.371123+00:00,80,20763,128x,100ms,0,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:45.627631+00:00,81,21022,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:45.891283+00:00,82,21282,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:46.147798+00:00,83,21542,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:46.412042+00:00,84,21803,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:46.667462+00:00,85,22062,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:46.924178+00:00,86,22322,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:47.187727+00:00,87,22582,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:47.443542+00:00,88,22841,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:47.707297+00:00,89,23101,128x,100ms,1,0,0,0,0,0,0,0,0,0,0
2026-09-09T00:06:47.964067+00:00,90,23361,128x,100ms,1,0,0,0,0,0,0,0,0,0,1
2026-09-09T00:06:48.227965+00:00,91,23620,128x,100ms,1,0,3,0,4,2,6,1,7,0,13
2026-09-09T00:06:48.483258+00:00,92,23880,128x,100ms,1,2,8,1,5,2,8,1,4,0,12
2026-09-09T00:06:48.748868+00:00,93,24140,128x,100ms,0,1,7,0,1,0,2,0,0,0,3
2026-09-09T00:06:49.004166+00:00,94,24398,128x,100ms,0,0,2,0,0,0,2,0,0,0,2
2026-09-09T00:06:49.260959+00:00,95,24657,128x,100ms,0,0,2,0,0,0,2,0,0,0,2
2026-09-09T00:06:49.525339+00:00,96,24916,128x,100ms,0,0,2,0,0,0,3,0,0,0,3
2026-09-09T00:06:49.780173+00:00,97,25176,128x,100ms,0,3,11,1,1,3,11,1,2,0,13
2026-09-09T00:06:50.036428+00:00,98,25435,128x,100ms,0,3,11,1,1,3,11,1,2,0,13
2026-09-09T00:06:50.300318+00:00,99,25694,128x,100ms,0,3,11,1,1,3,11,1,1,0,13
2026-09-09T00:06:50.557014+00:00,100,25952,128x,100ms,0,3,11,1,2,3,11,1,2,0,13
2026-09-09T00:06:50.812715+00:00,101,26212,128x,100ms,0,3,11,1,2,3,11,1,2,0,14
2026-09-09T00:06:51.077097+00:00,102,26471,128x,100ms,0,3,11,1,1,3,11,1,2,0,13
2026-09-09T00:06:51.332947+00:00,103,26730,128x,100ms,0,3,11,1,1,3,11,1,2,0,13
2026-09-09T00:06:51.589249+00:00,104,26989,128x,100ms,0,3,11,1,2,3,11,1,2,0,14
2026-09-09T00:06:51.853002+00:00,105,27248,128x,100ms,1,3,11,1,1,3,11,1,2,0,14
2026-09-09T00:06:52.108277+00:00,106,27508,128x,100ms,1,3,11,1,1,3,11,1,1,0,13
2026-09-09T00:06:52.371982+00:00,107,27767,128x,100ms,1,3,11,1,2,3,11,1,2,0,13
2026-09-09T00:06:52.628545+00:00,108,28027,128x,100ms,1,3,11,1,1,3,12,1,2,0,15
2026-09-09T00:06:52.892416+00:00,109,28288,128x,100ms,1,5,18,2,3,8,27,3,5,0,32
2026-09-09T00:06:53.152049+00:00,110,28549,128x,100ms,1,9,32,4,9,21,68,13,37,0,88
2026-09-09T00:06:53.416974+00:00,111,28810,128x,100ms,1,26,86,17,49,37,118,25,75,1,155
2026-09-09T00:06:53.673332+00:00,112,29072,128x,100ms,1,29,94,18,50,75,243,49,135,3,315
2026-09-09T00:06:53.940510+00:00,113,29334,128x,100ms,1,209,638,138,432,176,553,117,342,11,740
2026-09-09T00:06:54.204386+00:00,114,29596,128x,100ms,1,170,545,102,266,457,1427,244,663,26,2088
2026-09-09T00:06:54.468531+00:00,115,29861,128x,100ms,1,79,241,45,142,413,1237,251,783,29,2040
2026-09-09T00:06:54.732596+00:00,116,30126,128x,100ms,0,489,1455,364,1244,161,493,112,355,11,657
2026-09-09T00:06:54.989654+00:00,117,30390,128x,100ms,0,4,14,2,8,14,51,10,28,0,61
2026-09-09T00:06:55.252884+00:00,118,30649,128x,100ms,0,16,56,11,33,9,32,6,18,0,41
2026-09-09T00:06:55.508676+00:00,119,30910,128x,100ms,0,6,22,4,13,6,23,4,13,0,30
2026-09-09T00:06:55.774948+00:00,120,31170,128x,100ms,0,6,24,4,14,4,17,3,10,0,23
2026-09-09T00:06:56.029955+00:00,121,31430,128x,100ms,0,7,24,4,13,29,99,20,59,1,124
2026-09-09T00:06:56.294358+00:00,122,31690,128x,100ms,0,29,98,20,60,37,125,27,79,1,164
2026-09-09T00:06:56.551696+00:00,123,31951,128x,100ms,0,76,254,57,173,133,430,95,294,9,604
2026-09-09T00:06:56.823805+00:00,124,32214,128x,100ms,0,686,2104,455,1411,741,2270,490,1519,55,3355
2026-09-09T00:06:57.088361+00:00,125,32478,128x,100ms,0,977,2955,657,2084,1023,3069,705,2296,81,4709
2026-09-09T00:06:57.352927+00:00,126,32743,128x,100ms,0,978,2920,694,2308,858,2571,608,2007,70,3963
2026-09-09T00:06:57.616595+00:00,127,33007,128x,100ms,0,272,822,189,605,62,195,40,120,3,227
2026-09-09T00:06:57.873510+00:00,128,33270,128x,100ms,1,15,53,10,29,7,24,4,13,0,30
2026-09-09T00:06:58.136974+00:00,129,33531,128x,100ms,1,11,37,7,22,178,572,129,406,13,828
2026-09-09T00:06:58.401367+00:00,130,33796,128x,100ms,1,243,771,175,552,244,773,175,553,19,1116
2026-09-09T00:06:58.664786+00:00,131,34059,128x,100ms,1,248,785,178,561,241,764,173,546,18,1099
2026-09-09T00:06:58.929773+00:00,132,34322,128x,100ms,1,259,819,185,588,266,839,190,604,20,1207
2026-09-09T00:06:59.193322+00:00,133,34586,128x,100ms,1,283,882,200,636,280,873,198,627,21,1259
2026-09-09T00:06:59.458367+00:00,134,34850,128x,100ms,1,274,855,193,613,272,849,192,609,20,1229
2026-09-09T00:06:59.721628+00:00,135,35115,128x,100ms,1,305,947,215,685,314,974,222,706,24,1415
2026-09-09T00:06:59.986466+00:00,136,35378,128x,100ms,1,307,951,216,689,297,921,209,666,23,1351
2026-09-09T00:07:00.243654+00:00,137,35642,128x,100ms,1,218,702,153,494,220,707,154,498,16,970
2026-09-09T00:07:00.514873+00:00,138,35905,128x,100ms,1,220,705,154,497,222,713,155,503,16,978
2026-09-09T00:07:00.771386+00:00,139,36168,128x,100ms,0,220,705,153,497,223,715,156,504,16,982
2026-09-09T00:07:01.034803+00:00,140,36431,128x,100ms,0,220,706,154,498,221,709,155,500,16,974
2026-09-09T00:07:01.298993+00:00,141,36696,128x,100ms,0,222,712,155,502,220,704,154,497,16,969
2026-09-09T00:07:01.562849+00:00,142,36960,128x,100ms,0,223,716,157,505,220,705,154,497,16,968
2026-09-09T00:07:01.827051+00:00,143,37223,128x,100ms,0,220,705,154,497,224,718,156,506,16,985
2026-09-09T00:07:02.093455+00:00,144,37486,128x,100ms,0,219,704,153,496,223,716,156,504,16,983
2026-09-09T00:07:02.353066+00:00,145,37750,128x,100ms,0,221,708,154,499,220,706,154,497,16,969
2026-09-09T00:07:02.616112+00:00,146,38013,128x,100ms,0,221,709,154,499,219,704,154,496,16,967
2026-09-09T00:07:02.881170+00:00,147,38277,128x,100ms,0,218,701,152,494,214,692,151,488,16,950
2026-09-09T00:07:03.145170+00:00,148,38540,128x,100ms,0,211,682,148,479,201,657,143,459,15,896
2026-09-09T00:07:03.408642+00:00,149,38803,128x,100ms,0,149,505,103,315,156,529,107,326,10,676
2026-09-09T00:07:03.666998+00:00,150,39066,128x,100ms,1,131,459,87,251,122,428,80,224,7,509
2026-09-09T00:07:03.931040+00:00,151,39329,128x,100ms,1,167,561,112,335,164,553,113,343,11,709
2026-09-09T00:07:04.195800+00:00,152,39592,128x,100ms,1,174,583,119,367,208,682,144,450,15,901
2026-09-09T00:07:04.459194+00:00,153,39856,128x,100ms,1,219,712,150,472,214,697,147,463,15,924
2026-09-09T00:07:04.724121+00:00,154,40119,128x,100ms,1,442,1339,239,662,274,817,106,203,8,1047
2026-09-09T00:07:04.987204+00:00,155,40382,128x,100ms,1,329,964,157,386,254,772,130,314,12,1112
2026-09-09T00:07:05.244096+00:00,156,40645,128x,100ms,1,21,93,10,2,20,92,10,1,0,55
2026-09-09T00:07:05.509572+00:00,157,40906,128x,100ms,1,21,94,10,2,20,92,10,2,0,55
2026-09-09T00:07:05.765288+00:00,158,41167,128x,100ms,1,21,94,10,2,20,92,10,1,0,55
2026-09-09T00:07:06.029317+00:00,159,41428,128x,100ms,1,21,94,10,2,20,92,10,2,0,55
2026-09-09T00:07:06.285305+00:00,160,41690,128x,100ms,1,21,94,10,2,20,92,10,2,0,55
2026-09-09T00:07:06.549622+00:00,161,41951,128x,100ms,1,21,93,10,1,20,92,10,1,0,55
2026-09-09T00:07:06.814240+00:00,162,42212,128x,100ms,0,21,93,10,1,20,92,10,1,0,55
2026-09-09T00:07:07.069744+00:00,163,42472,128x,100ms,0,20,92,10,2,21,93,10,2,0,56
2026-09-09T00:07:07.333444+00:00,164,42733,128x,100ms,0,20,92,10,1,21,93,10,2,0,56
2026-09-09T00:07:07.598119+00:00,165,42994,128x,100ms,0,21,92,10,1,21,92,10,2,0,56
2026-09-09T00:07:07.855110+00:00,166,43254,128x,100ms,0,21,94,10,1,20,92,10,1,0,56
2026-09-09T00:07:08.119103+00:00,167,43515,128x,100ms,0,21,94,10,2,20,92,10,2,0,55
2026-09-09T00:07:08.375283+00:00,168,43777,128x,100ms,0,21,93,10,1,20,92,10,1,0,56
